in:dy_4,in:dx_0,in:dy_0,out:Deflection,out:Mass,img
-2,0.4,0.4,0.068636,140.898743,dy_4-2_dx_00.4_dy_00.4.png
-1.2,0.4,0.4,0.088523,115.423369,dy_4-1.2_dx_00.4_dy_00.4.png
-0.4,0.4,0.4,0.30645,104.350223,dy_4-0.4_dx_00.4_dy_00.4.png
0.4,0.4,0.4,0.214092,115.964992,dy_40.4_dx_00.4_dy_00.4.png
1.2,0.4,0.4,0.097599,138.247467,dy_41.2_dx_00.4_dy_00.4.png
2,0.4,0.4,0.072249,165.81932,dy_42_dx_00.4_dy_00.4.png
-2,1.2,0.4,0.084184,146.301101,dy_4-2_dx_01.2_dy_00.4.png
-1.2,1.2,0.4,0.121575,118.494403,dy_4-1.2_dx_01.2_dy_00.4.png
-0.4,1.2,0.4,0.355391,104.515248,dy_4-0.4_dx_01.2_dy_00.4.png
0.4,1.2,0.4,0.364288,120.552488,dy_40.4_dx_01.2_dy_00.4.png
1.2,1.2,0.4,0.121967,144.142751,dy_41.2_dx_01.2_dy_00.4.png
2,1.2,0.4,0.084454,172.272514,dy_42_dx_01.2_dy_00.4.png
-2,2,0.4,0.092481,187.327966,dy_4-2_dx_02_dy_00.4.png
-1.2,2,0.4,0.14099,164.471605,dy_4-1.2_dx_02_dy_00.4.png
-0.4,2,0.4,0.583072,154.914921,dy_4-0.4_dx_02_dy_00.4.png
0.4,2,0.4,0.585301,163.497791,dy_40.4_dx_02_dy_00.4.png
1.2,2,0.4,0.138889,183.903054,dy_41.2_dx_02_dy_00.4.png
2,2,0.4,0.09206,210.508388,dy_42_dx_02_dy_00.4.png
-2,-2,1.2,0.088883,229.983228,dy_4-2_dx_0-2_dy_01.2.png
-1.2,-2,1.2,0.128323,210.274611,dy_4-1.2_dx_0-2_dy_01.2.png
-0.4,-2,1.2,0.554841,198.43754,dy_4-0.4_dx_0-2_dy_01.2.png
0.4,-2,1.2,0.779845,197.289578,dy_40.4_dx_0-2_dy_01.2.png
1.2,-2,1.2,0.141766,207.047161,dy_41.2_dx_0-2_dy_01.2.png
2,-2,1.2,0.092434,225.159966,dy_42_dx_0-2_dy_01.2.png
-2,-1.2,1.2,0.052821,183.285494,dy_4-2_dx_0-1.2_dy_01.2.png
-1.2,-1.2,1.2,0.081422,161.532122,dy_4-1.2_dx_0-1.2_dy_01.2.png
-0.4,-1.2,1.2,0.423912,148.037867,dy_4-0.4_dx_0-1.2_dy_01.2.png
0.4,-1.2,1.2,0.685154,146.48675,dy_40.4_dx_0-1.2_dy_01.2.png
1.2,-1.2,1.2,0.114265,157.37415,dy_41.2_dx_0-1.2_dy_01.2.png
2,-1.2,1.2,0.070778,177.437452,dy_42_dx_0-1.2_dy_01.2.png
-2,-0.4,1.2,0.109082,162.525726,dy_4-2_dx_0-0.4_dy_01.2.png
-1.2,-0.4,1.2,0.147299,138.069749,dy_4-1.2_dx_0-0.4_dy_01.2.png
-0.4,-0.4,1.2,0.447114,121.759271,dy_4-0.4_dx_0-0.4_dy_01.2.png
0.4,-0.4,1.2,0.478731,119.38857,dy_40.4_dx_0-0.4_dy_01.2.png
1.2,-0.4,1.2,0.126594,132.424127,dy_41.2_dx_0-0.4_dy_01.2.png
2,-0.4,1.2,0.11019,155.402594,dy_42_dx_0-0.4_dy_01.2.png
-2,0.4,1.2,0.096493,155.005625,dy_4-2_dx_00.4_dy_01.2.png
-1.2,0.4,1.2,0.144191,127.733424,dy_4-1.2_dx_00.4_dy_01.2.png
-0.4,0.4,1.2,0.594224,106.681546,dy_4-0.4_dx_00.4_dy_01.2.png
0.4,0.4,1.2,0.547938,101.979523,dy_40.4_dx_00.4_dy_01.2.png
1.2,0.4,1.2,0.146043,119.965415,dy_41.2_dx_00.4_dy_01.2.png
2,0.4,1.2,0.097764,146.671386,dy_42_dx_00.4_dy_01.2.png
-2,1.2,1.2,0.095072,162.047149,dy_4-2_dx_01.2_dy_01.2.png
-1.2,1.2,1.2,0.14618,133.955365,dy_4-1.2_dx_01.2_dy_01.2.png
-0.4,1.2,1.2,0.741928,110.572164,dy_4-0.4_dx_01.2_dy_01.2.png
0.4,1.2,1.2,0.74091,102.964131,dy_40.4_dx_01.2_dy_01.2.png
1.2,1.2,1.2,0.146172,125.372495,dy_41.2_dx_01.2_dy_01.2.png
2,1.2,1.2,0.095069,153.386253,dy_42_dx_01.2_dy_01.2.png
-2,2,1.2,0.096826,201.329013,dy_4-2_dx_02_dy_01.2.png
-1.2,2,1.2,0.150674,175.385386,dy_4-1.2_dx_02_dy_01.2.png
